,start_anomaly,anomaly sample length,prob_anomaly,lat,lon
139,0,,0.0,25.928972,-80.31107
140,0,,0.0,25.928976,-80.31104
141,0,,0.0,25.928982,-80.31101
142,0,,0.0,25.928988,-80.31098
143,0,,0.0,25.928993,-80.31094
144,0,,0.0,25.928997,-80.31091
145,0,,0.0,25.928957,-80.31195
146,0,,0.0,25.928963,-80.31191
147,0,,0.0,25.928968,-80.311874
148,0,,0.0,25.928974,-80.311844
149,2019-07-02 00:00:00,15.0,0.95,25.92898,-80.311806
150,0,,0.0,25.928986,-80.311775
151,0,,0.0,25.928991,-80.31174
152,0,,0.0,25.928997,-80.31171
153,0,,0.0,25.929003,-80.31167
154,2018-09-17 00:00:00,13.0,0.95,25.929008,-80.31164
155,2018-07-19 00:00:00,23.0,0.95,25.929014,-80.3116
156,0,,0.0,25.929018,-80.31157
157,0,,0.0,25.929024,-80.31153
158,0,,0.0,25.92903,-80.3115
159,0,,0.0,25.929035,-80.31146
160,0,,0.0,25.92904,-80.31143
161,0,,0.0,25.929047,-80.31139
162,0,,0.0,25.929054,-80.311356
163,0,,0.0,25.92906,-80.31132
164,0,,0.0,25.929066,-80.31128
165,0,,0.0,25.929071,-80.31125
166,0,,0.0,25.929077,-80.31121
167,0,,0.0,25.929083,-80.31117
168,0,,0.0,25.92909,-80.311134
169,0,,0.0,25.929096,-80.311104
170,0,,0.0,25.9291,-80.311066
171,0,,0.0,25.929106,-80.311035
172,0,,0.0,25.929111,-80.311
173,0,,0.0,25.929117,-80.31097
174,0,,0.0,25.929123,-80.310936
175,2021-07-27 00:00:00,38.0,0.95,25.92908,-80.31198
176,2022-10-26 00:00:00,4.0,0.95,25.929085,-80.31194
177,0,,0.0,25.92909,-80.31191
178,0,,0.0,25.929096,-80.311874
179,0,,0.0,25.929102,-80.311844
180,0,,0.0,25.929108,-80.311806
181,0,,0.0,25.929113,-80.311775
182,0,,0.0,25.92912,-80.31174
183,0,,0.0,25.929125,-80.31171
184,2018-07-07 00:00:00,16.0,0.95,25.92913,-80.31167
185,0,,0.0,25.929136,-80.31164
186,0,,0.0,25.929142,-80.3116
187,0,,0.0,25.929148,-80.31157
188,2021-12-06 00:00:00,21.0,0.95,25.929153,-80.31153
189,0,,0.0,25.92916,-80.3115
190,0,,0.0,25.929165,-80.31146
191,0,,0.0,25.92917,-80.311424
192,2022-02-16 00:00:00,12.0,0.95,25.929176,-80.311386
193,0,,0.0,25.929182,-80.31135
194,0,,0.0,25.929188,-80.31131
195,0,,0.0,25.929195,-80.31127
196,0,,0.0,25.929201,-80.31123
197,0,,0.0,25.929207,-80.3112
198,0,,0.0,25.929213,-80.311165
199,0,,0.0,25.929218,-80.31113
200,2020-08-13 00:00:00,30.0,0.95,25.929224,-80.31109
201,0,,0.0,25.92923,-80.31106
202,0,,0.0,25.929235,-80.31102
203,0,,0.0,25.929241,-80.31099
204,0,,0.0,25.929247,-80.31096
